date,cpi,purchasing_power
1978-12-01,67.9,1.4727540500736376
1979-01-01,68.5,1.4598540145985401
1979-02-01,69.2,1.445086705202312
1979-03-01,69.9,1.4306151645207439
1979-04-01,70.6,1.41643059490085
1979-05-01,71.4,1.4005602240896358
1979-06-01,72.2,1.3850415512465373
1979-07-01,73.0,1.36986301369863
1979-08-01,73.7,1.3568521031207599
1979-09-01,74.4,1.3440860215053763
1979-10-01,75.2,1.3297872340425532
1979-11-01,76.0,1.3157894736842106
1979-12-01,76.9,1.3003901170351104
1980-01-01,78.0,1.2820512820512822
1980-02-01,79.0,1.2658227848101267
1980-03-01,80.1,1.2484394506866419
1980-04-01,80.9,1.2360939431396785
1980-05-01,81.7,1.2239902080783354
1980-06-01,82.5,1.2121212121212122
1980-07-01,82.6,1.2106537530266344
1980-08-01,83.2,1.2019230769230769
1980-09-01,83.9,1.1918951132300357
1980-10-01,84.7,1.1806375442739079
1980-11-01,85.6,1.1682242990654206
1980-12-01,86.4,1.1574074074074074
1981-01-01,87.2,1.146788990825688
1981-02-01,88.0,1.1363636363636365
1981-03-01,88.6,1.1286681715575622
1981-04-01,89.1,1.122334455667789
1981-05-01,89.7,1.1148272017837235
1981-06-01,90.5,1.1049723756906078
1981-07-01,91.5,1.092896174863388
1981-08-01,92.2,1.0845986984815619
1981-09-01,93.1,1.0741138560687433
1981-10-01,93.4,1.070663811563169
1981-11-01,93.8,1.0660980810234542
1981-12-01,94.1,1.0626992561105209
1982-01-01,94.4,1.059322033898305
1982-02-01,94.7,1.0559662090813093
1982-03-01,94.7,1.0559662090813093
1982-04-01,95.0,1.0526315789473684
1982-05-01,95.9,1.0427528675703857
1982-06-01,97.0,1.0309278350515463
1982-07-01,97.5,1.0256410256410255
1982-08-01,97.7,1.0235414534288638
1982-09-01,97.7,1.0235414534288638
1982-10-01,98.1,1.0193679918450562
1982-11-01,98.0,1.0204081632653061
1982-12-01,97.7,1.0235414534288638
1983-01-01,97.9,1.0214504596527068
1983-02-01,98.0,1.0204081632653061
1983-03-01,98.1,1.0193679918450562
1983-04-01,98.8,1.0121457489878543
1983-05-01,99.2,1.0080645161290323
1983-06-01,99.4,1.0060362173038229
1983-07-01,99.8,1.0020040080160322
1983-08-01,100.1,0.999000999000999
1983-09-01,100.4,0.99601593625498
1983-10-01,100.8,0.9920634920634921
1983-11-01,101.1,0.9891196834817013
1983-12-01,101.4,0.9861932938856015
1984-01-01,102.1,0.9794319294809012
1984-02-01,102.6,0.9746588693957116
1984-03-01,102.9,0.9718172983479105
1984-04-01,103.3,0.968054211035818
1984-05-01,103.5,0.966183574879227
1984-06-01,103.7,0.9643201542912246
1984-07-01,104.1,0.9606147934678194
1984-08-01,104.4,0.9578544061302682
1984-09-01,104.7,0.9551098376313276
1984-10-01,105.1,0.9514747859181732
1984-11-01,105.3,0.949667616334283
1984-12-01,105.5,0.9478672985781991
1985-01-01,105.7,0.9460737937559129
1985-02-01,106.3,0.9407337723424272
1985-03-01,106.8,0.9363295880149813
1985-04-01,107.0,0.9345794392523364
1985-05-01,107.2,0.9328358208955224
1985-06-01,107.5,0.9302325581395349
1985-07-01,107.7,0.9285051067780873
1985-08-01,107.9,0.9267840593141797
1985-09-01,108.1,0.9250693802035153
1985-10-01,108.5,0.9216589861751152
1985-11-01,109.0,0.9174311926605505
1985-12-01,109.5,0.91324200913242
1986-01-01,109.9,0.9099181073703366
1986-02-01,109.7,0.9115770282588879
1986-03-01,109.1,0.9165902841429882
1986-04-01,108.7,0.9199632014719411
1986-05-01,109.0,0.9174311926605505
1986-06-01,109.4,0.9140767824497257
1986-07-01,109.5,0.91324200913242
1986-08-01,109.6,0.9124087591240876
1986-09-01,110.0,0.9090909090909091
1986-10-01,110.2,0.9074410163339383
1986-11-01,110.4,0.9057971014492753
1986-12-01,110.8,0.9025270758122744
1987-01-01,111.4,0.8976660682226212
1987-02-01,111.8,0.8944543828264758
1987-03-01,112.2,0.8912655971479501
1987-04-01,112.7,0.8873114463176575
1987-05-01,113.0,0.8849557522123894
1987-06-01,113.5,0.8810572687224669
1987-07-01,113.8,0.8787346221441125
1987-08-01,114.3,0.8748906386701663
1987-09-01,114.7,0.8718395815170008
1987-10-01,115.0,0.8695652173913043
1987-11-01,115.4,0.8665511265164644
1987-12-01,115.6,0.8650519031141869
1988-01-01,116.0,0.8620689655172413
1988-02-01,116.2,0.8605851979345955
1988-03-01,116.5,0.8583690987124464
1988-04-01,117.2,0.8532423208191126
1988-05-01,117.5,0.851063829787234
1988-06-01,118.0,0.847457627118644
1988-07-01,118.5,0.8438818565400844
1988-08-01,119.0,0.8403361344537815
1988-09-01,119.5,0.8368200836820083
1988-10-01,119.9,0.8340283569641367
1988-11-01,120.3,0.8312551953449709
1988-12-01,120.7,0.8285004142502072
1989-01-01,121.2,0.8250825082508251
1989-02-01,121.6,0.8223684210526316
1989-03-01,122.2,0.8183306055646481
1989-04-01,123.1,0.8123476848090984
1989-05-01,123.7,0.8084074373484236
1989-06-01,124.1,0.8058017727639001
1989-07-01,124.5,0.8032128514056225
1989-08-01,124.5,0.8032128514056225
1989-09-01,124.8,0.8012820512820513
1989-10-01,125.4,0.7974481658692185
1989-11-01,125.9,0.7942811755361397
1989-12-01,126.3,0.7917656373713381
1990-01-01,127.5,0.7843137254901961
1990-02-01,128.0,0.78125
1990-03-01,128.6,0.7776049766718507
1990-04-01,128.9,0.7757951900698216
1990-05-01,129.1,0.774593338497289
1990-06-01,129.9,0.7698229407236336
1990-07-01,130.5,0.7662835249042146
1990-08-01,131.6,0.7598784194528876
1990-09-01,132.5,0.7547169811320755
1990-10-01,133.4,0.7496251874062968
1990-11-01,133.7,0.7479431563201198
1990-12-01,134.2,0.7451564828614009
1991-01-01,134.7,0.7423904974016333
1991-02-01,134.8,0.7418397626112759
1991-03-01,134.8,0.7418397626112759
1991-04-01,135.1,0.7401924500370096
1991-05-01,135.6,0.7374631268436579
1991-06-01,136.0,0.7352941176470589
1991-07-01,136.2,0.7342143906020558
1991-08-01,136.6,0.7320644216691069
1991-09-01,137.0,0.7299270072992701
1991-10-01,137.2,0.728862973760933
1991-11-01,137.8,0.7256894049346879
1991-12-01,138.2,0.7235890014471781
